data_czas;ts_epoch;level;source;type;message;data_json
2025-12-18T15:18:40;1766067520.457;INFO;blower;BLOWER_MODE_CHANGED;dmuchawa: tryb 'None' → 'work';"{""prev_mode"":null,""mode"":""work""}"
2025-12-18T15:18:40;1766067520.457;INFO;mixer;MIXER_MODE_CHANGED;Zawór mieszający: tryb 'None' → 'ramp';"{""prev_mode"":null,""mode"":""ramp""}"
2025-12-18T15:18:40;1766067520.457;INFO;mode;MODE_CHANGED;Tryb pracy kotła: UNKNOWN -> WORK;"{""prev_mode"":""UNKNOWN"",""mode"":""WORK""}"
2025-12-18T15:18:40;1766067520.457;INFO;power_work;WORK_POWER_LEVEL_CHANGED;power_work: 0.0% → 100.0% (T_kotła=40.0°C, zadana=55.0°C);"{""prev_power"":0.0,""power"":100.0,""boiler_temp"":39.99968035741621,""boiler_set_temp"":55.0}"
2025-12-18T15:18:40;1766067520.457;INFO;power_work;WORK_POWER_MODE_CHANGED;power_work: ENTER WORK;"{""in_work"":true}"
2025-12-18T15:18:40;1766067520.457;INFO;pump_cwu;PUMP_CWU_ON;Pompa CWU: ON (T_kotła=40.0°C, próg=36.0°C);"{""boiler_temp"":39.99968035741621,""boiler_on_temp"":36.0,""hysteresis"":2.0}"
2025-12-18T15:44:58;1766069098.788;INFO;blower;BLOWER_MODE_CHANGED;dmuchawa: tryb 'None' → 'work';"{""prev_mode"":null,""mode"":""work""}"
2025-12-18T15:44:58;1766069098.788;INFO;mixer;MIXER_MODE_CHANGED;Zawór mieszający: tryb 'None' → 'ramp';"{""prev_mode"":null,""mode"":""ramp""}"
2025-12-18T15:44:58;1766069098.788;INFO;mode;MODE_CHANGED;Tryb pracy kotła: UNKNOWN -> WORK;"{""prev_mode"":""UNKNOWN"",""mode"":""WORK""}"
2025-12-18T15:44:58;1766069098.788;INFO;power_work;WORK_POWER_LEVEL_CHANGED;power_work: 0.0% → 100.0% (T_kotła=40.0°C, zadana=55.0°C);"{""prev_power"":0.0,""power"":100.0,""boiler_temp"":39.99962551004791,""boiler_set_temp"":55.0}"
2025-12-18T15:44:58;1766069098.788;INFO;power_work;WORK_POWER_MODE_CHANGED;power_work: ENTER WORK;"{""in_work"":true}"
2025-12-18T15:44:58;1766069098.788;INFO;pump_cwu;PUMP_CWU_ON;Pompa CWU: ON (T_kotła=40.0°C, próg=36.0°C);"{""boiler_temp"":39.99962551004791,""boiler_on_temp"":36.0,""hysteresis"":2.0}"
2025-12-18T15:48:21;1766069301.445;INFO;feeder;FEEDER_OFF;Podajnik ślimakowy: OFF (koniec podawania, on_time=20.0s);"{""power_percent"":100.0,""on_time_s"":20.0,""off_time_s"":40.0,""mode"":""IGNITION""}"
2025-12-18T15:49:01;1766069341.701;INFO;feeder;FEEDER_ON;Podajnik ślimakowy: ON (start podawania, off_time=40.0s);"{""power_percent"":100.0,""on_time_s"":20.0,""off_time_s"":40.0,""mode"":""IGNITION""}"
2025-12-18T15:49:03;1766069343.743;INFO;mixer;MIXER_MOVE;Zawór mieszający: OPEN 5.9s (T_CO=29.7°C, zadana=40.0°C, tryb=ramp);"{""direction"":""open"",""pulse_s"":5.920388492011199,""radiators_temp"":29.659223015977602,""target_temp"":40.0,""mode"":""ramp"",""boiler_temp"":48.75590809892145}"
2025-12-18T15:52:40;1766069560.536;INFO;pump_co;PUMP_CO_ON;Pompa CO: ON (T_kotła=47.0°C, próg=47.0°C);"{""boiler_temp"":47.030080768760435,""boiler_on_temp"":47.0,""hysteresis"":3.0}"
2025-12-18T15:53:04;1766069584.396;INFO;feeder;FEEDER_ON;Podajnik ślimakowy: ON (start podawania, off_time=40.0s);"{""power_percent"":100.0,""on_time_s"":20.0,""off_time_s"":40.0,""mode"":""IGNITION""}"
2025-12-18T15:53:24;1766069604.840;INFO;feeder;FEEDER_OFF;Podajnik ślimakowy: OFF (koniec podawania, on_time=20.0s);"{""power_percent"":100.0,""on_time_s"":20.0,""off_time_s"":40.0,""mode"":""IGNITION""}"
2025-12-18T15:54:05;1766069645.052;INFO;feeder;FEEDER_ON;Podajnik ślimakowy: ON (start podawania, off_time=40.0s);"{""power_percent"":100.0,""on_time_s"":20.0,""off_time_s"":40.0,""mode"":""IGNITION""}"
2025-12-18T15:58:07;1766069887.677;INFO;feeder;FEEDER_ON;Podajnik ślimakowy: ON (start podawania, off_time=40.0s);"{""power_percent"":100.0,""on_time_s"":20.0,""off_time_s"":40.0,""mode"":""IGNITION""}"
2025-12-18T15:58:28;1766069908.033;INFO;feeder;FEEDER_OFF;Podajnik ślimakowy: OFF (koniec podawania, on_time=20.0s);"{""power_percent"":100.0,""on_time_s"":20.0,""off_time_s"":40.0,""mode"":""IGNITION""}"
2025-12-18T15:59:08;1766069948.375;INFO;feeder;FEEDER_ON;Podajnik ślimakowy: ON (start podawania, off_time=40.0s);"{""power_percent"":100.0,""on_time_s"":20.0,""off_time_s"":40.0,""mode"":""IGNITION""}"
